initial state:
1 | B 
2 | C E 
3 | A D 

it= 403 , queue= 347 , f=g+h= 18 , depth=  9
it= 404 , queue= 347 , f=g+h= 18 , depth=  6
it= 405 , queue= 347 , f=g+h= 18 , depth=  6
it= 406 , queue= 348 , f=g+h= 18 , depth=  8
it= 407 , queue= 349 , f=g+h= 18 , depth=  4
it= 408 , queue= 350 , f=g+h= 17 , depth=  5
it= 409 , queue= 351 , f=g+h= 14 , depth=  6
it= 410 , queue= 352 , f=g+h= 14 , depth=  7
it= 411 , queue= 353 , f=g+h= 17 , depth=  7
it= 412 , queue= 352 , f=g+h= 18 , depth=  6
it= 413 , queue= 353 , f=g+h= 18 , depth=  6
it= 414 , queue= 354 , f=g+h= 17 , depth=  7
it= 415 , queue= 355 , f=g+h= 18 , depth=  6
it= 416 , queue= 356 , f=g+h= 16 , depth=  7
it= 417 , queue= 357 , f=g+h= 16 , depth=  8
it= 418 , queue= 356 , f=g+h= 18 , depth=  6
it= 419 , queue= 357 , f=g+h= 18 , depth=  6
it= 420 , queue= 358 , f=g+h= 18 , depth=  4
it= 421 , queue= 360 , f=g+h= 17 , depth=  5
it= 422 , queue= 361 , f=g+h= 16 , depth=  6
it= 423 , queue= 362 , f=g+h= 13 , depth=  7
it= 424 , queue= 363 , f=g+h= 13 , depth=  8
it= 425 , queue= 364 , f=g+h= 16 , depth=  8
it= 426 , queue= 363 , f=g+h= 17 , depth=  7
it= 427 , queue= 366 , f=g+h= 17 , depth=  9
it= 428 , queue= 367 , f=g+h= 18 , depth=  4
it= 429 , queue= 367 , f=g+h= 18 , depth=  10
it= 430 , queue= 366 , f=g+h= 18 , depth=  8
it= 431 , queue= 365 , f=g+h= 18 , depth=  7
it= 432 , queue= 366 , f=g+h= 18 , depth=  8
it= 433 , queue= 367 , f=g+h= 18 , depth=  9
it= 434 , queue= 368 , f=g+h= 18 , depth=  6
it= 435 , queue= 371 , f=g+h= 18 , depth=  6
it= 436 , queue= 372 , f=g+h= 18 , depth=  6
it= 437 , queue= 375 , f=g+h= 17 , depth=  7
it= 438 , queue= 376 , f=g+h= 16 , depth=  8
it= 439 , queue= 377 , f=g+h= 18 , depth=  6
it= 440 , queue= 378 , f=g+h= 16 , depth=  7
it= 441 , queue= 379 , f=g+h= 18 , depth=  5
it= 442 , queue= 380 , f=g+h= 16 , depth=  6
it= 443 , queue= 381 , f=g+h= 15 , depth=  7
it= 444 , queue= 382 , f=g+h= 17 , depth=  8
it= 445 , queue= 383 , f=g+h= 17 , depth=  9
it= 446 , queue= 384 , f=g+h= 18 , depth=  7
it= 447 , queue= 385 , f=g+h= 18 , depth=  8
it= 448 , queue= 385 , f=g+h= 18 , depth=  5
it= 449 , queue= 386 , f=g+h= 18 , depth=  8
it= 450 , queue= 387 , f=g+h= 18 , depth=  6
it= 451 , queue= 388 , f=g+h= 18 , depth=  8
it= 452 , queue= 389 , f=g+h= 18 , depth=  6
it= 453 , queue= 390 , f=g+h= 16 , depth=  7
it= 454 , queue= 389 , f=g+h= 18 , depth=  8
it= 455 , queue= 388 , f=g+h= 18 , depth=  10
it= 456 , queue= 387 , f=g+h= 18 , depth=  10
it= 457 , queue= 388 , f=g+h= 18 , depth=  5
it= 458 , queue= 388 , f=g+h= 18 , depth=  6
it= 459 , queue= 390 , f=g+h= 18 , depth=  8
it= 460 , queue= 391 , f=g+h= 18 , depth=  8
it= 461 , queue= 392 , f=g+h= 18 , depth=  8
it= 462 , queue= 393 , f=g+h= 18 , depth=  8
it= 463 , queue= 394 , f=g+h= 18 , depth=  8
it= 464 , queue= 395 , f=g+h= 18 , depth=  5
it= 465 , queue= 396 , f=g+h= 16 , depth=  6
it= 466 , queue= 397 , f=g+h= 15 , depth=  7
it= 467 , queue= 398 , f=g+h= 17 , depth=  8
it= 468 , queue= 398 , f=g+h= 18 , depth=  7
it= 469 , queue= 399 , f=g+h= 18 , depth=  9
it= 470 , queue= 400 , f=g+h= 18 , depth=  8
it= 471 , queue= 399 , f=g+h= 18 , depth=  8
it= 472 , queue= 400 , f=g+h= 18 , depth=  6
it= 473 , queue= 403 , f=g+h= 18 , depth=  8
it= 474 , queue= 403 , f=g+h= 16 , depth=  9
it= 475 , queue= 404 , f=g+h= 14 , depth=  10
it= 476 , queue= 403 , f=g+h= 18 , depth=  6
it= 477 , queue= 404 , f=g+h= 18 , depth=  11
it= 478 , queue= 403 , f=g+h= 18 , depth=  6
it= 479 , queue= 406 , f=g+h= 18 , depth=  9
