initial state:
1 | B 
2 | C E 
3 | A D 

it= 260 , queue= 518 , depth=  5
it= 261 , queue= 520 , depth=  5
it= 262 , queue= 520 , depth=  5
it= 263 , queue= 520 , depth=  5
it= 264 , queue= 520 , depth=  5
it= 265 , queue= 520 , depth=  5
it= 266 , queue= 521 , depth=  5
it= 267 , queue= 523 , depth=  5
it= 268 , queue= 525 , depth=  5
it= 269 , queue= 525 , depth=  5
it= 270 , queue= 526 , depth=  5
it= 271 , queue= 527 , depth=  5
it= 272 , queue= 528 , depth=  5
it= 273 , queue= 528 , depth=  5
it= 274 , queue= 529 , depth=  5
it= 275 , queue= 530 , depth=  5
it= 276 , queue= 532 , depth=  5
it= 277 , queue= 534 , depth=  5
it= 278 , queue= 534 , depth=  5
it= 279 , queue= 536 , depth=  5
it= 280 , queue= 538 , depth=  5
it= 281 , queue= 538 , depth=  5
it= 282 , queue= 540 , depth=  5
it= 283 , queue= 542 , depth=  5
it= 284 , queue= 542 , depth=  5
it= 285 , queue= 544 , depth=  5
it= 286 , queue= 546 , depth=  5
it= 287 , queue= 546 , depth=  5
it= 288 , queue= 548 , depth=  5
it= 289 , queue= 550 , depth=  5
it= 290 , queue= 552 , depth=  5
it= 291 , queue= 552 , depth=  5
it= 292 , queue= 554 , depth=  5
it= 293 , queue= 556 , depth=  5
it= 294 , queue= 560 , depth=  5
it= 295 , queue= 562 , depth=  5
it= 296 , queue= 564 , depth=  5
it= 297 , queue= 566 , depth=  5
it= 298 , queue= 568 , depth=  5
it= 299 , queue= 570 , depth=  5
it= 300 , queue= 572 , depth=  5
it= 301 , queue= 574 , depth=  5
it= 302 , queue= 576 , depth=  5
it= 303 , queue= 578 , depth=  5
it= 304 , queue= 581 , depth=  5
it= 305 , queue= 583 , depth=  5
it= 306 , queue= 583 , depth=  5
it= 307 , queue= 584 , depth=  5
it= 308 , queue= 584 , depth=  5
it= 309 , queue= 584 , depth=  5
it= 310 , queue= 586 , depth=  5
it= 311 , queue= 588 , depth=  5
it= 312 , queue= 590 , depth=  5
it= 313 , queue= 592 , depth=  5
it= 314 , queue= 593 , depth=  5
it= 315 , queue= 594 , depth=  5
it= 316 , queue= 594 , depth=  5
it= 317 , queue= 594 , depth=  5
it= 318 , queue= 595 , depth=  5
it= 319 , queue= 599 , depth=  5
it= 320 , queue= 599 , depth=  5
it= 321 , queue= 601 , depth=  5
it= 322 , queue= 601 , depth=  5
it= 323 , queue= 601 , depth=  5
it= 324 , queue= 603 , depth=  5
it= 325 , queue= 605 , depth=  5
it= 326 , queue= 606 , depth=  5
it= 327 , queue= 606 , depth=  5
it= 328 , queue= 608 , depth=  5
it= 329 , queue= 610 , depth=  5
it= 330 , queue= 614 , depth=  5
it= 331 , queue= 616 , depth=  5
it= 332 , queue= 618 , depth=  5
it= 333 , queue= 618 , depth=  5
it= 334 , queue= 620 , depth=  5
it= 335 , queue= 622 , depth=  5
it= 336 , queue= 622 , depth=  5
it= 337 , queue= 622 , depth=  5
it= 338 , queue= 624 , depth=  5
it= 339 , queue= 626 , depth=  5
it= 340 , queue= 628 , depth=  5
it= 341 , queue= 630 , depth=  5
it= 342 , queue= 632 , depth=  5
it= 343 , queue= 634 , depth=  5
it= 344 , queue= 636 , depth=  5
it= 345 , queue= 640 , depth=  5
it= 346 , queue= 642 , depth=  5
it= 347 , queue= 644 , depth=  5
it= 348 , queue= 646 , depth=  6
it= 349 , queue= 646 , depth=  6
it= 350 , queue= 648 , depth=  6
it= 351 , queue= 651 , depth=  6
it= 352 , queue= 653 , depth=  6
it= 353 , queue= 653 , depth=  6
it= 354 , queue= 654 , depth=  6
it= 355 , queue= 656 , depth=  6
it= 356 , queue= 658 , depth=  6
it= 357 , queue= 660 , depth=  6
it= 358 , queue= 662 , depth=  6
it= 359 , queue= 664 , depth=  6
it= 360 , queue= 666 , depth=  6
it= 361 , queue= 667 , depth=  6
it= 362 , queue= 667 , depth=  6
it= 363 , queue= 667 , depth=  6
it= 364 , queue= 669 , depth=  6
it= 365 , queue= 673 , depth=  6
it= 366 , queue= 675 , depth=  6
it= 367 , queue= 677 , depth=  6
it= 368 , queue= 679 , depth=  6
it= 369 , queue= 683 , depth=  6
it= 370 , queue= 686 , depth=  6
it= 371 , queue= 688 , depth=  6
it= 372 , queue= 690 , depth=  6
it= 373 , queue= 691 , depth=  6
it= 374 , queue= 693 , depth=  6
it= 375 , queue= 695 , depth=  6
it= 376 , queue= 697 , depth=  6
it= 377 , queue= 699 , depth=  6
it= 378 , queue= 701 , depth=  6
it= 379 , queue= 701 , depth=  6
it= 380 , queue= 703 , depth=  6
it= 381 , queue= 705 , depth=  6
it= 382 , queue= 706 , depth=  6
it= 383 , queue= 706 , depth=  6
it= 384 , queue= 706 , depth=  6
it= 385 , queue= 708 , depth=  6
it= 386 , queue= 708 , depth=  6
it= 387 , queue= 711 , depth=  6
it= 388 , queue= 713 , depth=  6
it= 389 , queue= 715 , depth=  6
it= 390 , queue= 717 , depth=  6
it= 391 , queue= 721 , depth=  6
it= 392 , queue= 723 , depth=  6
it= 393 , queue= 725 , depth=  6
it= 394 , queue= 727 , depth=  6
it= 395 , queue= 727 , depth=  6
it= 396 , queue= 729 , depth=  6
it= 397 , queue= 733 , depth=  6
it= 398 , queue= 735 , depth=  6
it= 399 , queue= 737 , depth=  6
it= 400 , queue= 739 , depth=  6
it= 401 , queue= 743 , depth=  6
it= 402 , queue= 747 , depth=  6
it= 403 , queue= 751 , depth=  6
it= 404 , queue= 755 , depth=  6
it= 405 , queue= 759 , depth=  6
it= 406 , queue= 763 , depth=  6
it= 407 , queue= 767 , depth=  6
it= 408 , queue= 767 , depth=  6
it= 409 , queue= 769 , depth=  6
it= 410 , queue= 773 , depth=  6
it= 411 , queue= 775 , depth=  6
it= 412 , queue= 777 , depth=  6
it= 413 , queue= 779 , depth=  6
it= 414 , queue= 783 , depth=  6
it= 415 , queue= 787 , depth=  6
it= 416 , queue= 789 , depth=  6
it= 417 , queue= 789 , depth=  6
it= 418 , queue= 791 , depth=  6
it= 419 , queue= 793 , depth=  6
it= 420 , queue= 797 , depth=  6
it= 421 , queue= 800 , depth=  6
it= 422 , queue= 802 , depth=  6
it= 423 , queue= 804 , depth=  6
it= 424 , queue= 804 , depth=  6
it= 425 , queue= 806 , depth=  6
it= 426 , queue= 809 , depth=  6
it= 427 , queue= 810 , depth=  6
it= 428 , queue= 812 , depth=  6
it= 429 , queue= 814 , depth=  6
it= 430 , queue= 814 , depth=  6
it= 431 , queue= 816 , depth=  6
it= 432 , queue= 817 , depth=  6
it= 433 , queue= 817 , depth=  6
it= 434 , queue= 818 , depth=  6
it= 435 , queue= 820 , depth=  6
it= 436 , queue= 823 , depth=  6
it= 437 , queue= 825 , depth=  6
it= 438 , queue= 827 , depth=  6
it= 439 , queue= 829 , depth=  6
it= 440 , queue= 831 , depth=  6
it= 441 , queue= 831 , depth=  6
it= 442 , queue= 832 , depth=  6
it= 443 , queue= 834 , depth=  6
it= 444 , queue= 835 , depth=  6
it= 445 , queue= 837 , depth=  6
it= 446 , queue= 839 , depth=  6
it= 447 , queue= 840 , depth=  6
it= 448 , queue= 841 , depth=  6
it= 449 , queue= 843 , depth=  6
it= 450 , queue= 846 , depth=  6
it= 451 , queue= 848 , depth=  6
it= 452 , queue= 851 , depth=  6
it= 453 , queue= 853 , depth=  6
it= 454 , queue= 853 , depth=  6
it= 455 , queue= 855 , depth=  6
it= 456 , queue= 857 , depth=  6
it= 457 , queue= 857 , depth=  6
it= 458 , queue= 858 , depth=  6
it= 459 , queue= 860 , depth=  6
it= 460 , queue= 864 , depth=  6
it= 461 , queue= 868 , depth=  6
it= 462 , queue= 872 , depth=  6
it= 463 , queue= 876 , depth=  6
it= 464 , queue= 880 , depth=  6
it= 465 , queue= 884 , depth=  6
it= 466 , queue= 888 , depth=  6
it= 467 , queue= 890 , depth=  6
it= 468 , queue= 892 , depth=  6
it= 469 , queue= 894 , depth=  6
it= 470 , queue= 896 , depth=  6
it= 471 , queue= 896 , depth=  6
it= 472 , queue= 898 , depth=  6
it= 473 , queue= 898 , depth=  6
it= 474 , queue= 900 , depth=  6
it= 475 , queue= 902 , depth=  6
it= 476 , queue= 903 , depth=  6
it= 477 , queue= 904 , depth=  6
it= 478 , queue= 904 , depth=  6
it= 479 , queue= 904 , depth=  6
it= 480 , queue= 906 , depth=  6
it= 481 , queue= 909 , depth=  6
it= 482 , queue= 911 , depth=  6
it= 483 , queue= 912 , depth=  6
it= 484 , queue= 916 , depth=  6
it= 485 , queue= 917 , depth=  6
it= 486 , queue= 918 , depth=  6
it= 487 , queue= 920 , depth=  6
it= 488 , queue= 923 , depth=  6
it= 489 , queue= 926 , depth=  6
it= 490 , queue= 930 , depth=  6
it= 491 , queue= 932 , depth=  6
it= 492 , queue= 934 , depth=  6
it= 493 , queue= 936 , depth=  6
it= 494 , queue= 938 , depth=  6
it= 495 , queue= 940 , depth=  6
it= 496 , queue= 940 , depth=  6
it= 497 , queue= 942 , depth=  6
it= 498 , queue= 944 , depth=  6
it= 499 , queue= 945 , depth=  6
it= 500 , queue= 947 , depth=  6
it= 501 , queue= 949 , depth=  6
it= 502 , queue= 951 , depth=  6
it= 503 , queue= 953 , depth=  6
it= 504 , queue= 956 , depth=  6
it= 505 , queue= 956 , depth=  6
it= 506 , queue= 957 , depth=  6
it= 507 , queue= 958 , depth=  6
it= 508 , queue= 958 , depth=  6
it= 509 , queue= 960 , depth=  6
it= 510 , queue= 960 , depth=  6
it= 511 , queue= 960 , depth=  6
it= 512 , queue= 961 , depth=  6
it= 513 , queue= 962 , depth=  6
it= 514 , queue= 963 , depth=  6
it= 515 , queue= 963 , depth=  6
it= 516 , queue= 964 , depth=  6
it= 517 , queue= 965 , depth=  6
it= 518 , queue= 967 , depth=  6
it= 519 , queue= 968 , depth=  6
it= 520 , queue= 969 , depth=  6
it= 521 , queue= 969 , depth=  6
it= 522 , queue= 971 , depth=  6
it= 523 , queue= 971 , depth=  6
it= 524 , queue= 972 , depth=  6
it= 525 , queue= 972 , depth=  6
it= 526 , queue= 972 , depth=  6
it= 527 , queue= 972 , depth=  6
it= 528 , queue= 974 , depth=  6
it= 529 , queue= 974 , depth=  6
it= 530 , queue= 974 , depth=  6
it= 531 , queue= 975 , depth=  6
it= 532 , queue= 976 , depth=  6
it= 533 , queue= 976 , depth=  6
it= 534 , queue= 977 , depth=  6
it= 535 , queue= 977 , depth=  6
it= 536 , queue= 978 , depth=  6
it= 537 , queue= 978 , depth=  6
it= 538 , queue= 978 , depth=  6
it= 539 , queue= 980 , depth=  6
it= 540 , queue= 984 , depth=  6
it= 541 , queue= 988 , depth=  6
it= 542 , queue= 992 , depth=  6
it= 543 , queue= 994 , depth=  6
it= 544 , queue= 997 , depth=  6
it= 545 , queue= 999 , depth=  6
it= 546 , queue= 1001 , depth=  6
it= 547 , queue= 1001 , depth=  6
it= 548 , queue= 1001 , depth=  6
it= 549 , queue= 1001 , depth=  6
it= 550 , queue= 1002 , depth=  6
it= 551 , queue= 1002 , depth=  6
it= 552 , queue= 1004 , depth=  6
it= 553 , queue= 1004 , depth=  6
it= 554 , queue= 1005 , depth=  6
it= 555 , queue= 1007 , depth=  6
it= 556 , queue= 1010 , depth=  6
it= 557 , queue= 1012 , depth=  6
it= 558 , queue= 1012 , depth=  6
it= 559 , queue= 1014 , depth=  6
it= 560 , queue= 1016 , depth=  6
it= 561 , queue= 1017 , depth=  6
it= 562 , queue= 1018 , depth=  6
it= 563 , queue= 1020 , depth=  6
it= 564 , queue= 1022 , depth=  6
it= 565 , queue= 1024 , depth=  6
it= 566 , queue= 1027 , depth=  6
it= 567 , queue= 1029 , depth=  6
