initial state:
1 | B 
2 | C E 
3 | A D 

it= 216 , queue= 214 , f=g+h= 9 , depth=  6
it= 217 , queue= 215 , f=g+h= 9 , depth=  6
it= 218 , queue= 217 , f=g+h= 9 , depth=  5
it= 219 , queue= 218 , f=g+h= 9 , depth=  5
it= 220 , queue= 219 , f=g+h= 9 , depth=  5
it= 221 , queue= 220 , f=g+h= 9 , depth=  5
it= 222 , queue= 221 , f=g+h= 9 , depth=  5
it= 223 , queue= 220 , f=g+h= 9 , depth=  5
it= 224 , queue= 219 , f=g+h= 9 , depth=  5
it= 225 , queue= 220 , f=g+h= 9 , depth=  5
it= 226 , queue= 221 , f=g+h= 9 , depth=  6
it= 227 , queue= 222 , f=g+h= 9 , depth=  6
it= 228 , queue= 221 , f=g+h= 9 , depth=  7
it= 229 , queue= 222 , f=g+h= 9 , depth=  7
it= 230 , queue= 223 , f=g+h= 9 , depth=  6
it= 231 , queue= 224 , f=g+h= 9 , depth=  6
it= 232 , queue= 223 , f=g+h= 10 , depth=  5
it= 233 , queue= 224 , f=g+h= 10 , depth=  5
it= 234 , queue= 226 , f=g+h= 10 , depth=  5
it= 235 , queue= 225 , f=g+h= 10 , depth=  5
it= 236 , queue= 226 , f=g+h= 10 , depth=  5
it= 237 , queue= 225 , f=g+h= 10 , depth=  5
it= 238 , queue= 224 , f=g+h= 10 , depth=  5
it= 239 , queue= 223 , f=g+h= 10 , depth=  5
it= 240 , queue= 222 , f=g+h= 10 , depth=  5
it= 241 , queue= 223 , f=g+h= 10 , depth=  5
it= 242 , queue= 222 , f=g+h= 10 , depth=  5
it= 243 , queue= 223 , f=g+h= 10 , depth=  6
it= 244 , queue= 226 , f=g+h= 10 , depth=  6
it= 245 , queue= 227 , f=g+h= 10 , depth=  7
it= 246 , queue= 228 , f=g+h= 10 , depth=  7
it= 247 , queue= 230 , f=g+h= 10 , depth=  5
it= 248 , queue= 233 , f=g+h= 10 , depth=  5
it= 249 , queue= 234 , f=g+h= 10 , depth=  5
it= 250 , queue= 234 , f=g+h= 10 , depth=  5
it= 251 , queue= 235 , f=g+h= 10 , depth=  5
it= 252 , queue= 237 , f=g+h= 10 , depth=  5
it= 253 , queue= 238 , f=g+h= 10 , depth=  6
it= 254 , queue= 238 , f=g+h= 10 , depth=  5
it= 255 , queue= 239 , f=g+h= 10 , depth=  5
it= 256 , queue= 242 , f=g+h= 10 , depth=  5
it= 257 , queue= 243 , f=g+h= 10 , depth=  5
it= 258 , queue= 242 , f=g+h= 10 , depth=  5
it= 259 , queue= 243 , f=g+h= 10 , depth=  5
it= 260 , queue= 244 , f=g+h= 10 , depth=  5
it= 261 , queue= 245 , f=g+h= 10 , depth=  5
it= 262 , queue= 246 , f=g+h= 10 , depth=  5
it= 263 , queue= 249 , f=g+h= 10 , depth=  5
it= 264 , queue= 250 , f=g+h= 10 , depth=  5
it= 265 , queue= 253 , f=g+h= 10 , depth=  5
it= 266 , queue= 256 , f=g+h= 10 , depth=  5
it= 267 , queue= 255 , f=g+h= 10 , depth=  5
it= 268 , queue= 258 , f=g+h= 10 , depth=  5
it= 269 , queue= 259 , f=g+h= 10 , depth=  5
it= 270 , queue= 262 , f=g+h= 10 , depth=  5
it= 271 , queue= 265 , f=g+h= 10 , depth=  5
it= 272 , queue= 264 , f=g+h= 10 , depth=  5
it= 273 , queue= 267 , f=g+h= 10 , depth=  5
it= 274 , queue= 268 , f=g+h= 10 , depth=  5
it= 275 , queue= 269 , f=g+h= 10 , depth=  5
it= 276 , queue= 270 , f=g+h= 10 , depth=  5
it= 277 , queue= 271 , f=g+h= 10 , depth=  5
it= 278 , queue= 270 , f=g+h= 10 , depth=  5
it= 279 , queue= 271 , f=g+h= 10 , depth=  5
it= 280 , queue= 272 , f=g+h= 10 , depth=  5
it= 281 , queue= 273 , f=g+h= 10 , depth=  5
it= 282 , queue= 274 , f=g+h= 10 , depth=  5
it= 283 , queue= 275 , f=g+h= 10 , depth=  5
it= 284 , queue= 276 , f=g+h= 10 , depth=  5
it= 285 , queue= 275 , f=g+h= 10 , depth=  5
it= 286 , queue= 276 , f=g+h= 10 , depth=  5
it= 287 , queue= 279 , f=g+h= 10 , depth=  5
it= 288 , queue= 279 , f=g+h= 10 , depth=  5
it= 289 , queue= 279 , f=g+h= 10 , depth=  5
it= 290 , queue= 279 , f=g+h= 10 , depth=  5
it= 291 , queue= 280 , f=g+h= 10 , depth=  5
it= 292 , queue= 281 , f=g+h= 10 , depth=  5
it= 293 , queue= 281 , f=g+h= 10 , depth=  5
it= 294 , queue= 282 , f=g+h= 10 , depth=  5
it= 295 , queue= 283 , f=g+h= 10 , depth=  5
it= 296 , queue= 284 , f=g+h= 10 , depth=  5
it= 297 , queue= 285 , f=g+h= 10 , depth=  5
it= 298 , queue= 284 , f=g+h= 10 , depth=  5
it= 299 , queue= 283 , f=g+h= 10 , depth=  5
it= 300 , queue= 282 , f=g+h= 10 , depth=  5
it= 301 , queue= 281 , f=g+h= 10 , depth=  5
it= 302 , queue= 280 , f=g+h= 10 , depth=  5
it= 303 , queue= 280 , f=g+h= 10 , depth=  5
it= 304 , queue= 281 , f=g+h= 10 , depth=  5
it= 305 , queue= 282 , f=g+h= 10 , depth=  5
it= 306 , queue= 282 , f=g+h= 10 , depth=  5
it= 307 , queue= 282 , f=g+h= 10 , depth=  5
it= 308 , queue= 281 , f=g+h= 10 , depth=  5
it= 309 , queue= 281 , f=g+h= 10 , depth=  5
it= 310 , queue= 281 , f=g+h= 10 , depth=  5
it= 311 , queue= 282 , f=g+h= 10 , depth=  5
it= 312 , queue= 283 , f=g+h= 10 , depth=  5
it= 313 , queue= 282 , f=g+h= 10 , depth=  5
it= 314 , queue= 283 , f=g+h= 10 , depth=  5
it= 315 , queue= 282 , f=g+h= 10 , depth=  5
it= 316 , queue= 283 , f=g+h= 10 , depth=  5
it= 317 , queue= 284 , f=g+h= 10 , depth=  5
it= 318 , queue= 283 , f=g+h= 10 , depth=  5
it= 319 , queue= 284 , f=g+h= 10 , depth=  5
it= 320 , queue= 285 , f=g+h= 10 , depth=  5
it= 321 , queue= 286 , f=g+h= 10 , depth=  5
it= 322 , queue= 285 , f=g+h= 10 , depth=  5
